월,주,일,판매처,채널,품번,브랜드명,위탁사입수출,제조사명,판매처2,성별,추가분류,년도,시즌,입력일,품명,사입명,사입가,TAG가,판매가,원가,할인,생산(물류),재고(물류),재고(기타창고가용),판매금액(원장),판매수량(원장),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,닥터제시카(자사몰),자사몰,DJ00004,닥터제시카,위탁,바이오피이드,TFT,,,2018,9.기타,20180209,오가닉 미니큐브 황태,,0,0,0,0,0,29,93,0,19000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,닥터제시카(자사몰),자사몰,DJ00005,닥터제시카,위탁,바이오피이드,TFT,,,2018,9.기타,20180209,오가닉 미니큐브 소간,,0,0,0,0,0,29,88,0,18000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,닥터제시카(자사몰),자사몰,DJ00006,닥터제시카,위탁,바이오피이드,TFT,,,2018,9.기타,20180209,오가닉 미니큐브 연어,,0,0,0,0,0,29,85,0,44000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,★★★본사출고★★★,★★★본사출고★★★,KT00001,미팩토리,#N/A,가시,미팩토리,,,2018,4.사계절,20180205,기타출고품,,0,0,0,0,0,0,5545254,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,비스탠다드(네이버페이),네이버페이,MC00001,모니카,위탁,양양산업,TFT,,,2017,9.기타,20180112,세탁조세정제,,0,22000,13800,2071,37,19487,342,31,193200,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,비스탠다드(페쇄몰),페쇄몰,MC00001,모니카,#N/A,양양산업,TFT,,,2017,9.기타,20180112,세탁조세정제,,0,22000,13800,2071,37,19487,342,31,178500,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,비스탠다드(자사몰),자사몰,MC00001,모니카,위탁,양양산업,TFT,,,2017,9.기타,20180112,세탁조세정제,,0,22000,13800,2071,37,19487,342,31,16300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(우먼스톡),우먼스톡,MF00001,미팩토리,위탁,씨엔에프,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩 (구형 5매),,0,12000,9900,1490,18,241000,242724,0,10200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(톡스토어),톡스토어,MF00002,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩(리뉴얼 3매),,0,7900,7900,1024,0,0,16183,62,15800,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(위메프),위메프,MF00002,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩(리뉴얼 3매),,0,7900,7900,1024,0,0,16183,62,118500,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(티몬),티몬,MF00002,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩(리뉴얼 3매),,0,7900,7900,1024,0,0,16183,62,31600,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(자사몰),자사몰,MF00002,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩(리뉴얼 3매),,0,7900,7900,1024,0,0,16183,62,126400,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,"머지,미팩토리(미미박스)",미미박스,MF00005,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩 (리뉴얼 10매),,0,19900,19900,3466,0,8000,6640,24,19900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(티몬),티몬,MF00005,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩 (리뉴얼 10매),,0,19900,19900,3466,0,8000,6640,24,338300,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,"미팩토리,바디홀릭(스토어팜)",스토어팜,MF00005,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩 (리뉴얼 10매),,0,19900,19900,3466,0,8000,6640,24,79600,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(자사몰),자사몰,MF00005,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩 (리뉴얼 10매),,0,19900,19900,3466,0,8000,6640,24,298500,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(위메프),위메프,MF00005,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,3단 돼지코팩 (리뉴얼 10매),,0,19900,19900,3466,0,8000,6640,24,119400,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(자사몰),자사몰,MF00006,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,1단 돼지코팩 10매입,,0,8900,8900,1435,0,0,12989,27,26700,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,"머지,미팩토리(미미박스)",미미박스,MF00006,미팩토리,위탁,가시,미팩토리,,,2017,9.기타,20180112,1단 돼지코팩 10매입,,0,8900,8900,1435,0,0,12989,27,26700,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(자사몰),자사몰,MF00007,미팩토리,위탁,이미인랩스,미팩토리,,,2017,9.기타,20180112,필링패드 5매입,,0,9800,5900,1189,40,-150,32192,71,11800,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(자사몰),자사몰,MF00009,미팩토리,위탁,코스온,미팩토리,,,2017,9.기타,20180112,시멘트팩,,0,18000,18000,1550,0,0,4143,79,36000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,미팩토리(티몬),티몬,MF00009,미팩토리,위탁,코스온,미팩토리,,,2017,9.기타,20180112,시멘트팩,,0,18000,18000,1550,0,0,4143,79,18000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
